1-ZCRm,2-Energym,3-EnergyEntropym,4-SpectralCentroidm,5-SpectralSpreadm,6-SpectralEntropym,7-SpectralFluxm,8-SpectralRolloffm,9-MFCCs1m,10-MFCCs2m,11-MFCCs3m,12-MFCCs4m,13-MFCCs5m,14-MFCCs6m,15-MFCCs7m,16-MFCCs8m,17-MFCCs9m,18-MFCCs10m,19-MFCCs11m,20-MFCCs12m,21-MFCCs13m,22-ChromaVector1m,23-ChromaVector2m,24-ChromaVector3m,25-ChromaVector4m,26-ChromaVector5m,27-ChromaVector6m,28-ChromaVector7m,29-ChromaVector8m,30-ChromaVector9m,31-ChromaVector10m,32-ChromaVector11m,33-ChromaVector12m,34-ChromaDeviationm,35-ZCRstd,36-Energystd,37-EnergyEntropystd,38-SpectralCentroidstd,39-SpectralSpreadstd,40-SpectralEntropystd,41-SpectralFluxstd,42-SpectralRolloffstd,43-MFCCs1std,44-MFCCs2std,45-MFCCs3std,46-MFCCs4std,47-MFCCs5std,48-MFCCs6std,49-MFCCs7std,50-MFCCs8std,51-MFCCs9std,52-MFCCs10std,53-MFCCs11std,54-MFCCs12std,55-MFCCs13std,56-ChromaVector1std,57-ChromaVector2std,58-ChromaVector3std,59-ChromaVector4std,60-ChromaVector5std,61-ChromaVector6std,62-ChromaVector7std,63-ChromaVector8std,64-ChromaVector9std,65-ChromaVector10std,66-ChromaVector11std,67-ChromaVector12std,68-ChromaDeviationstd,69-BPM,70-BPMconf,71-BPMessentia,72-bpm_histogram_first_peak_bpm,73-bpm_histogram_first_peak_weight,74-bpm_histogram_second_peak_bpm,75-bpm_histogram_second_peak_spread,76-bpm_histogram_second_peak_weight,77-danceability,78-beats_loudness.mean,79-beats_loudness.stdev,80-onset_rate,81-beats_loudness_band_ratio.mean1,82-beats_loudness_band_ratio.mean2,83-beats_loudness_band_ratio.mean3,84-beats_loudness_band_ratio.mean4,85-beats_loudness_band_ratio.mean5,86-beats_loudness_band_ratio.mean6,87-beats_loudness_band_ratio.stdev1,88-beats_loudness_band_ratio.stdev2,89-beats_loudness_band_ratio.stdev3,90-beats_loudness_band_ratio.stdev4,91-beats_loudness_band_ratio.stdev5,92-beats_loudness_band_ratio.stdev6,genre,artist,track
0.079425166,0.089603556,3.120110587,0.214364965,0.23422182,0.633007407,0.012339525,0.150021749,-23.77071613,2.118928342,0.38852792,0.513900318,0.334722825,0.306189326,0.042938799,0.220964639,0.175764141,0.16145831,-0.022231116,0.069332208,0.103986885,0.008348421,0.001761737,0.108049433,0.005784564,0.015456768,0.008244495,0.127177131,0.000574319,0.002211478,0.008355682,0.024462651,0.004235042,0.051373838,0.075596081,0.066250487,0.178251901,0.085974389,0.029346088,0.581898718,0.013040696,0.180484984,1.443986198,0.657739522,0.423753788,0.326006752,0.365129035,0.271603777,0.23870111,0.212021596,0.26459205,0.213010149,0.209218254,0.189143534,0.200789447,0.008027423,0.002397827,0.056343719,0.007953649,0.017506481,0.008555872,0.094076262,0.00070203,0.002920364,0.008775031,0.020890422,0.006363915,0.022005401,120,0.293459337,123.9890366,123,0.322175741,115,0.199999988,0.016260162,1.422947884,0.036122713,0.018344592,5.341117382,0.527732968,0.076751024,0.058441952,0.03240196,0.024159359,0.300503492,0.248347625,0.13115719,0.10937538,0.070656642,0.027210549,0.22320427,"Afro House","Javi Colors","Feeling Good-Original Mix"
0.04994633,0.066471716,3.099220642,0.164946937,0.217857559,0.39733963,0.018362917,0.079528581,-23.91062768,2.304410955,-0.275082038,0.527089082,0.182220629,0.216371614,0.007084949,0.083516611,0.052712631,0.139882315,0.262387632,0.264360179,-0.044497972,0.004344435,0.002951841,0.085315717,0.004265025,0.018386595,0.004372835,0.111656902,0.004685853,0.008644447,0.00992848,0.064507315,0.002320976,0.052962725,0.028524123,0.041447097,0.143216175,0.054178732,0.039021257,0.254433808,0.019527376,0.075271799,1.139826664,0.430463519,0.325662739,0.280542111,0.242457349,0.264499215,0.255035481,0.231423988,0.199048059,0.204655966,0.222196603,0.233171195,0.180946689,0.004261395,0.00314563,0.047867557,0.004091619,0.022548108,0.003643438,0.087047032,0.005501858,0.00895188,0.010625213,0.046596377,0.002513201,0.019651359,120,0.226063828,120.0008087,120,0.307317138,157,0.387096763,0.077235773,1.378207088,0.201730445,0.136077255,6.897956371,0.742077172,0.083738595,0.08722122,0.063572019,0.026615558,0.00931485,0.358701825,0.160240948,0.164309129,0.112423785,0.067506552,0.021832706,"Afro House","Notre Dame","Kaneba-Original Mix"
0.073688833,0.072841762,3.114776238,0.201524551,0.23995848,0.554678594,0.013654011,0.116525926,-23.88389676,2.080150185,-0.397063962,-0.093417034,0.021561703,0.402917093,0.17239157,0.093680463,0.014077196,0.079049849,0.095295491,0.116769953,0.161128466,0.008810365,0.016148109,0.08475673,0.002564363,0.021915884,0.033114469,0.046950803,0.002681085,0.00319264,0.00679812,0.025222219,0.003033067,0.040368629,0.040886925,0.061979579,0.155972495,0.055590238,0.031448809,0.365620079,0.014518305,0.111276419,1.011734345,0.480378888,0.303753441,0.248637094,0.231572482,0.22435213,0.21326949,0.220038222,0.209980922,0.206092287,0.190461893,0.178033033,0.169365334,0.009117301,0.012873055,0.085489532,0.003103201,0.020968336,0.020871972,0.035585902,0.002599634,0.003710735,0.006710681,0.023783998,0.003965847,0.024481072,120,0.233222759,122.0127869,123,0.361344516,117,0.333333313,0.008264462,1.343607068,0.135559946,0.107700296,5.274457932,0.575532854,0.020662768,0.260990351,0.056077573,0.045613348,0.049592163,0.460217446,0.033355277,0.317956179,0.08967904,0.078158528,0.078739569,"Afro House","Lunar Plane","Children Of Rain-Original Mix"
0.074294593,0.143877359,3.184614736,0.196423123,0.231026915,0.632171404,0.013407607,0.098108623,-22.3231747,2.178740392,-0.04560371,0.298453198,0.002489378,0.05182818,0.169762329,0.081866371,0.041472664,0.273627288,-0.005462722,-0.134921613,-0.08043296,0.012812862,0.003436925,0.110479013,0.011153529,0.026583094,0.006301229,0.043853925,0.001650516,0.002400441,0.029850285,0.028292443,0.003040213,0.045599624,0.037078704,0.073420556,0.117395995,0.056262949,0.035656036,0.351499442,0.011766791,0.072125798,0.987819704,0.546765073,0.424050074,0.318075808,0.283186677,0.253072779,0.235733761,0.222520129,0.233599068,0.225120095,0.218473099,0.212548603,0.204338097,0.013163503,0.005011905,0.095978423,0.013210277,0.023805245,0.006572684,0.050075735,0.002543097,0.003074704,0.02145086,0.025431733,0.003720114,0.024138567,120,0.122979797,120.9214401,120,0.523404241,112,0.400000036,0.0125,1.149808645,0.086495362,0.050307639,5.432775021,0.619620502,0.076128356,0.180865511,0.094388478,0.028914509,0.017663406,0.365594417,0.086201169,0.221062616,0.137246162,0.04144514,0.028583275,"Afro House",Bonga,"Mona Ki Ngi Xica-Pablo Fierro Remix"
0.092793929,0.061911178,3.14648443,0.219615842,0.250961271,0.716575543,0.011783283,0.162721423,-23.54924723,2.516019768,-0.057718567,0.308967365,-0.014116291,0.116384673,-0.017446463,0.008394828,0.005270243,-0.00977598,-0.015857068,-0.026539321,-0.000200483,0.018091377,0.004540769,0.066880732,0.017276975,0.01457722,0.00823867,0.068337009,0.002735305,0.007821311,0.018437924,0.034291462,0.007154937,0.036111536,0.053582559,0.045609078,0.120495264,0.06552429,0.033823352,0.45494166,0.010651046,0.16868545,1.142132212,0.612545694,0.483409864,0.357237516,0.325278261,0.309529537,0.269108129,0.266547402,0.240254849,0.225863784,0.227546625,0.219294308,0.194611974,0.015919518,0.006232432,0.063481591,0.014745503,0.012184593,0.009709821,0.062863848,0.004007829,0.007908486,0.013355355,0.03311447,0.00668212,0.019522591,120,0.208158219,117.9864502,117,0.203463197,123,0.333333313,0.008510638,1.474807143,0.123920806,0.064925097,7.297837734,0.81980294,0.068414859,0.064146698,0.042904314,0.011318214,0.01301023,0.260538727,0.102056615,0.098144487,0.08987537,0.025987152,0.031014999,"Afro House",Yamil,"De Todo Se Aprende-Remix"
0.077213427,0.058942409,3.136649907,0.184976733,0.21411413,0.729863936,0.008596109,0.117638104,-23.86911896,1.654066344,-0.293003692,0.289234061,-0.152001284,0.076379647,0.065189051,0.18921305,0.027145271,0.028771487,-0.136095826,-0.066624411,0.032843687,0.007938193,0.016073556,0.060569117,0.010772507,0.017586854,0.007066791,0.095386319,0.007189322,0.006519301,0.007819646,0.019882755,0.00265014,0.03839756,0.030396321,0.051828762,0.173171532,0.046960155,0.031075382,0.31399863,0.008257334,0.07128383,1.076301314,0.466367175,0.321504385,0.254721644,0.226978589,0.22069025,0.229963987,0.22673694,0.201841669,0.202638669,0.20112914,0.191008162,0.16573552,0.006897981,0.013076893,0.03928366,0.009639698,0.01312538,0.007124462,0.053183818,0.00631541,0.007290154,0.006615296,0.01739187,0.002614018,0.014682734,120,0.170353981,123.0189133,123,0.118852437,0,0,0,1.451326251,0.162386701,0.160592243,4.99948597,0.479345411,0.094786212,0.215090871,0.147581428,0.063093618,0.017370893,0.448354363,0.130585179,0.234413847,0.174075007,0.084092587,0.035258535,"Afro House","Oliver Koletzki","Fire In The Jungle-Lunar Plane Remix"
0.084181548,0.091416963,3.112105771,0.224248925,0.243865898,0.731575104,0.012614004,0.13369906,-23.12897017,2.02852971,0.198228326,0.274074722,0.225476928,0.205541098,0.232491062,0.027179935,0.068754038,0.099954607,0.136666417,0.066405924,-0.050973752,0.00659384,0.003207071,0.096498235,0.004884784,0.021148034,0.005827743,0.056380415,0.00265394,0.006644248,0.015514392,0.057702308,0.002069222,0.04396803,0.044600683,0.070164289,0.163516613,0.049443123,0.021333062,0.431744166,0.009492622,0.11930763,1.052478033,0.448542301,0.372079881,0.302001941,0.233653077,0.211905135,0.205201557,0.195475569,0.197422599,0.188376309,0.20404339,0.202676202,0.182956847,0.00641932,0.003006248,0.082090835,0.004304267,0.028280971,0.004466373,0.054637071,0.003325972,0.006793431,0.015083961,0.046532325,0.002232901,0.019971522,240,0.125411704,122.118309,123,0.38202244,161,0.076923072,0.140077814,1.374937177,0.148618504,0.113431975,5.982718468,0.706426144,0.074110128,0.111095272,0.062182773,0.041037239,0.024623569,0.352924466,0.107652977,0.167742684,0.107074164,0.090474345,0.053097226,"Afro House","Matthias Tanzmann","Chano-DJ CHUS Extended Remix"
0.064052214,0.114904,3.009836186,0.223376942,0.261719671,0.48684571,0.017636972,0.079416838,-23.76168178,1.8580103,0.439663387,0.275203119,0.226400106,0.218980294,0.162147038,0.030472842,0.086948044,-0.003821754,0.116968431,0.08396468,-0.045465764,0.002992414,0.00097591,0.196071042,0.005692591,0.009859653,0.003672128,0.15209019,0.000624918,0.001396489,0.005368232,0.020277077,0.001385917,0.081244247,0.047942594,0.092264522,0.187297129,0.059770513,0.022520313,0.438749963,0.016084081,0.103730892,1.306434119,0.527931329,0.378139916,0.363296993,0.254068211,0.25008267,0.229876252,0.243099733,0.224711349,0.227487805,0.212878303,0.205140366,0.212707904,0.003814226,0.001558355,0.15590158,0.007312265,0.012030105,0.003365164,0.115816924,0.001025711,0.002167025,0.007855941,0.02289013,0.001916338,0.029995148,120,0.2064133,122.9996948,123,0.016393423,0,0,0,2.13390398,0.363608122,0.068297803,7.314499378,0.983159602,0.007133164,0.00431407,0.002552703,0.002252671,0.002313822,0.016165525,0.009733901,0.005933157,0.003977975,0.003051367,0.002303655,"Afro House","Toto La Momposina","La Playita feat. Totó La Momposina-Extended Mix"
0.11889642,0.045978185,3.060081107,0.236116386,0.235267501,0.99251454,0.008550996,0.190664607,-23.90086146,1.166335822,-0.439440673,0.042904607,0.168076267,0.234013908,-0.079785192,-0.147139825,-0.033289146,-0.152011926,-0.086936403,-0.049549246,0.091088949,0.004347121,0.006833651,0.052669878,0.006545241,0.012315072,0.01091681,0.085223484,0.003563617,0.015592948,0.013618102,0.013704686,0.006638698,0.037558822,0.063669414,0.032532244,0.234493807,0.058839649,0.028133945,0.46467398,0.006801008,0.154653338,1.144433293,0.521883797,0.357238832,0.325606356,0.237542336,0.24181371,0.240784964,0.23337042,0.23181518,0.224568158,0.209473097,0.202588114,0.196558765,0.00510979,0.007951739,0.048684418,0.006292948,0.011219031,0.010674431,0.066510587,0.00465424,0.015473879,0.019691776,0.016768483,0.00693081,0.019182541,120,0.129765012,117.8736649,117,0.225806475,112,0.545454502,0.021459227,1.604964972,0.104938939,0.104435019,6.114854813,0.431317687,0.07636565,0.219123155,0.142780811,0.086647414,0.058760289,0.460200757,0.121558912,0.231295213,0.15332143,0.100265764,0.094417356,"Afro House","Animal Trainer","Verzasca-Original Mix"
0.079066363,0.088144982,3.021113759,0.240596086,0.259702447,0.680772189,0.025119517,0.161765985,-25.26624982,2.208503505,0.871205646,0.559584344,0.146336311,0.230104189,0.043436162,-0.011380475,0.093433727,0.042242561,0.010416662,0.01576738,-0.048139118,0.045560539,0.000692708,0.161699328,0.004314792,0.010121151,0.005012984,0.057486913,0.000402165,0.002149,0.006980966,0.021754459,0.005157405,0.060004448,0.07489398,0.107755412,0.246665893,0.107091906,0.037234406,0.720893835,0.021357355,0.228043387,2.113697739,0.706045255,0.551150805,0.377788758,0.299981444,0.267827085,0.218781413,0.247478043,0.222772831,0.223545325,0.208315768,0.18623105,0.165099869,0.065315621,0.00091525,0.117837749,0.005275913,0.014087421,0.005107537,0.071429797,0.000591862,0.003056747,0.00658889,0.022970956,0.005901214,0.028981858,120,0.363853121,120.0056534,120,0.373390555,112,0.5,0.008403362,1.797310114,0.341085374,0.217991307,4.298726559,0.822785556,0.079580188,0.027071571,0.038689986,0.037775233,0.028083868,0.287152469,0.142688617,0.055153348,0.079123527,0.078246966,0.045723025,"Afro House",Ramyen,"Najwa-Original Mix"
